Algorithm,Ciphertext,PlaintextLen,KeyLen,BlockSize,IVLen,Mode,Entropy,HexRatio,ByteMean,ByteStd
RSA,80199667D81B7DE0459FABC1B17CE5F50480B693A6BE74E8EC961BD346726A2CFCCE8F871F19BF12AAE7C3F9031F9DC604FD456361FDF5EC1FFE8345430F89D74DD97249AD277278DBE25A192019053BD5B426E414B38CE5F380572E75E8998AE6A1B4C07C4B378F12054C88017165D491A7940C07BADA8706CAFBEDFA46A3B6826AC05376B249015C16302F83DFB6FB2FDD15223466B47423B626F2EFCC2989C98BF68AB6FD1CAFBC42B14B93EAEA76FCBA941F76E42B14ED0B108E77DDAFA591E1AB5662E0524494170948658ED2323A320C3172CB777C021BEBFD110F2012F551A06588D486A8B3826D636BC52511695374C8DB10D3030E9930F815DF9F22,32,2048,0,0,Asymmetric,3.989018671135414,1.0,127.7578125,77.33149484663312
ECC,80E09640CA2647BAEAB2F46B464DF5116B77A28D908C31CC665BF8F13A26132FE630D295A04B22F1D47C2CAED5790A9BA4E6678A92D72354BFDC691C7E9E3245,32,256,0,0,Asymmetric,3.958091604139361,1.0,131.359375,70.6778269658128
Diffie-Hellman,A1699EE157D6984666D1DE77D29D64397EDBB78C91B5182F21A61C9427FE06D9F91A1818F7451F9C6D47F70528346C6858EC6CA468C41F9737F345C0D015EE48AE7AF7A8FCF0555B9306299D9EE7E7ED6B7E78DDEBF0C2A1CCED018B001C6933DBF5AEF7B96860DF13022332176D24F1D9E3F676932EEC5D2DF1C93F288260ACA5393A8479D22D36DC2DB3E55F3C2C9A82800E076EC1C322C4151EE4935E97C6B5F8495AE8174C251D58D938524C998F8937E94DA39B9CC11351CC6B1303A434B4CD7541A1606788E420D9FDE962CC62F10F52E345FC361605C66A2D85245B5F74D81280C059C68A216D6ED6699900CDBB37FEBB0F69DF30586661CD65DF3746,32,2048,0,0,KeyExchange,3.967046308203993,1.0,127.4453125,75.6652587670018
AES,C45674A0DFC18FB6B16166162D96CDE0EF8475B44BB15C8167B9ECD1213CAEFFAC41F1C674239029E0AEF79E5F7DB185A78EC401681967D2EB51CC83B3326550,32,16,16,16,CBC,3.934806389304556,1.0,141.734375,64.66288594208717
DES,52CF46BC5C6603EBD8C86D85C32FC3261691E449407EFEC1A233DE3929AA62081912DE8B4178353632B2F4B532CFDCE5,32,8,8,8,CBC,3.89114158109081,1.0,126.6875,76.13342352136368
3DES,A78FAA4D005FD1C0BDE1FA78BE0CAF91B1C39AA1AACFF107B1B429E052CAB216B585660EAEFE40C727DDD334AB7FEACA,32,24,8,8,CBC,3.8490766899407327,1.0,149.0625,70.6432959339856
Blowfish,E5F8E447774A5CE4E91451E080BA3AA8159563B5A72E6AA5D83186979316B7DBA0A5F01B9A9CC8115678630F94183D02,32,16,8,8,CBC,3.887003356073202,1.0,127.41666666666667,72.21462032641928
RSA,2385D75091458175ADE103B90C525F9F3D252BFEC204AFAC5E7542C2BFBD4282C4D38FA277E12BB078046FD59B738B3F072B073988124536E619050B0CF09028BF10F3B8AD20E5543C73943DCD2F3C0B2AB60407583F56E52D38BFED93C4C26B79B369849C9E70C4C0DEC68024E9F5CBEAE6D164EE584AD0606C7D9FD3CCBF976F896B7BBC9532E9F4AF1DC90CC619AB22A3CC80B62E55B64348CFCC4913B4541D938671C9F3E288C9F47A0429F27366E60BD30F662EB374EC4E52354AE7BE52C98E780E6FF0DFFFB6BD9A7C7FFF4B0240C81442F6ACD9A22556B6C55C859390FFDDD10156C4136E5D228CBD3A3318251D72230BB932812ADA73658AE05E9310,32,2048,0,0,Asymmetric,3.9741799481992746,1.0,126.48828125,73.65778039467995
ECC,79BE670A79DD08DE00A86F5205034E6EB7F1E93AE703C7A66DD8A78F91AB08ED9C1143FE28F5F63867444DF2F730E58CBF6D2E707B1EC2473DD3EBAAC1EA8667,32,256,0,0,Asymmetric,3.9155039297381022,1.0,133.046875,78.92330725289187
Diffie-Hellman,5E783F41F7971ADAA464345AFCA7F61F031B148B1FA05D7A0DB3349E9538359265E3B627601842B9E7904887DA9AB4022E9D4D57F779947526857E019ADDD384567E93C465215A58D91BCF94BB9CA195CE51E1EA1DB472EAB70533B2E3B0E361C9D7A4CB34E686BD198404EF6647830E485AC9D8BC540FE07FEF6805FE67084AE2809F0643171ACDBE5F7D035FA2D9E9DD5C8DE327F09E24F1F44633929F1F032C6972542E6616651E8A11D2C796A1CC3A96E54938B36278BDBA91D66E2BA1F731372936FAF2B3F12C0BC51A054C2352B271FFA8EB46027480B2394E47F60681974AE66DB26F1A21602A93AF60B63B42FA0D216FF3D7B608563BAF0114D96ED9,32,2048,0,0,KeyExchange,3.979298073736777,1.0,123.48046875,74.80406443523155
AES,06E6AB9A2FE4918E0282955374442DF69832E8B46A74FEFB9D96E99C04CBDE17476B83B288C2C0D0FB9A3B5A7B75976C16CD4880FECBC9C04FF00BAB41A50280,32,16,16,16,CBC,3.92615899028735,1.0,138.421875,72.21318367503524
DES,6AD5649FA8EC7CB39F6D57ACDBA54B2D0374B387BA9FBF0623F4B85AFE0AFB5B1460D464018E4D6C869FC9056E54399C,32,8,8,8,CBC,3.8944308927627547,1.0,127.33333333333333,69.7577156226384
3DES,0050C68BC04B907EE0E97A060CCE6C72332AFD7BF465B7892EA71CC4E9B38D71408F47E1B0EDC5FC73F7412A0E13160A,32,24,8,8,CBC,3.8789714288613215,1.0,127.39583333333333,78.57341036236255
Blowfish,3A4FD5DC2F00A22018788A8ECE4A35A270DB2A85907ED7EDF8F5F3C9096C59E907B4E78715DC134E502AABD74978683C,32,16,8,8,CBC,3.909117450410849,1.0,126.875,76.69273786784943
RSA,040A3ECCC4B39592896601964C62D0D64B65121888170B5E657757F55DFDBCD26EAC392ADABB3C4981B1EA05F74B8B13A5D85E35516F5BC9C1DB8E52258717C67DEAA6E58965127DFF1435AE3BBAD1B309112D4229CCAD4D2BC0D65D5303A5978DC95B98C3AFA24BCFF58A7E4E7A97D83E521A0C28817C45094EC291B8671B0450BCFA9A8D2A9D65A5ED5EC80439E1B028E77F9F56ADB5DF6C9694AA0F23DEDAD1FEFC77BF886C1CF40C687A9FE0275FB1910233BC8CF287E87F76EBD43AD0C36FC927ED5B0820C6C952F6EF237C24653AD8C440D83FF66A7FA845115CAE5B40AA20251B71A72FD8C289FCC3FA892B70B5471C781EF367BE9F59DA17A363B88D,32,2048,0,0,Asymmetric,3.9842830885627913,1.0,127.91015625,72.50966890250282
ECC,E52F5BAD2E1AB446411167229E30EE54E5E9D62DDD5E6C1169BCEC9E324A7E8F7EDA47867BCC5D4CA49D3CA62AD73DBE188CEDD8ADD8E3E9D01E6819FC95F258,32,256,0,0,Asymmetric,3.8603286467613613,1.0,133.03125,73.33377648421974
Diffie-Hellman,A0B229846461585980DCCAC2C9CE3EDEB733288E1B3DF9134EA6A69929C788F669D1101A57D1F87EE73AC498C24E32D976E7101325638D2153F5DB0B035D8FDCC6CAB4A2E8A1F28157465E2BEBEDE00FC707EFD9338315A82F1BCD86508661A7F1A4AC5C4439912656674B7DBD1A496AA8C111EB1EB54AF6DB71B0EBEC8ADED549AB1C1747794795E84D88916DF97173EAF9A6BCF6EFE0198C9E84F706F0E40414BB22F23576BCF6C6D5494D87A0F3D0CCE2EAF9EF507DA747FF101E761BBCA1270E66AE50655A40572F75667C00042089996010CE1A09B43922340FCE34925CE80D8FD7F73B6C9E0391C30503717E224C7A3DA8696E1A20BF10532DA2FA64F6,32,2048,0,0,KeyExchange,3.988338509523919,1.0,127.81640625,76.65416377852517
AES,D95D3DA94B7AC46148792DB3F037521589B8C3A714AE2C1D1D6AC5D112107F53CACEDF73FF95514883ED2CDB1E47A97EBEEEF2BE0C6105E3C583471CB4C74265,32,16,16,16,CBC,3.933649609286635,1.0,126.3125,73.17783881579176
DES,57051145339724C48601F0FD84D434EA749909910CF42F83A58B24E7904EDEDC79B2AFFA88132B752C95CE3F56254430,32,8,8,8,CBC,3.8950786803003794,1.0,118.79166666666667,76.73139251455184
3DES,51ECA99FAAD1CD28645436CDBC64D18D612D7194258DB326B3BD470F34347100F5DF41017F55B0CBEDB17A71DB34FA6C,32,24,8,8,CBC,3.8808993783667094,1.0,129.625,70.44904334576398
Blowfish,8C61A88DF8CFF9ACC24373BE550F02CBC1C24307C39B70D207F356073DFC5F7A1C6EB864FD784E919D6FF4E0F7AA53F4,32,16,8,8,CBC,3.9078800864218324,1.0,141.60416666666666,75.24259088201899
RSA,1AB030EFC242F1E5ACB3F3D996BC53D15ED10CB0DD5E1C53CE766E29801270340BF1743E6B29240CCFE401B7E77B54C975531958020CDA4C94D1FE6D8756A059D4300062628C6F0999532569A2643DC44DAD2819BF19CCE541D406AF80756BD4526810E53C5866B223C102AEFDF26413248D6A4338EEAFAA9F8DDA6CE64126FA400747455523C428238322476170F06E0059641F6999B066B306DE1A7BBA41A82E70ABF29273D18E014FE71E2D1C7912C29FF1149D1DC455FFC00A3D68A845E612BBE1F6F6A74FE6D9456E1A14C9D4C64F1A97BC68CF5235026F2BB6BB5BAE835C0A5DF2B1EF8017FF287541B6A1D6389AD68BB8DEA1CD5B7BE18B1AA84A0426,32,2048,0,0,Asymmetric,3.979588987240967,1.0,122.21875,74.7647286388274
ECC,8D5709AA752572DA12F4A2CE2EC4AE0B17C8788E514B480C720B7B6AC7AECA0FAA5A74C1D4CBAE22CA5BEF04C46E4B37DC68D7AF22599190DC635CAA7CF83D15,32,256,0,0,Asymmetric,3.866557103977846,1.0,124.125,70.99878960235871
Diffie-Hellman,703C60F546E4C3EC741F47E41DE6291696664FC7BD2F87F3A09DC2115087F2DE03E6F4F319EE1365F87C751A4562524054DACAE569787DDFF01C1A1E90EB2FEE6A838E05FD0C5930B646B2352DAAAE38DA237EBC819F6594D6B0D94FF5AB5056832947E27E6013DDAFCA8ABCE59A79180588650A1B0755D2588C91C6B727F22D8B97F5366C5D9DF8275FBD4112E5F2960BD1A6EFCB6B2D60AB1619721B1E754A1A022D69BB30765FBF9C866BC590AA5F37EC4D4912C83D4525BB168501BBDEE683B06E478E6380BFAEA1310521022040EFDB9AE711A66239380F8713AC21BF924AF746F51E2833C8580677961C857E3EE1EA90EA5EE092C23687F38D8AE60BF8,32,2048,0,0,KeyExchange,3.9813759074067545,1.0,124.53515625,75.43063047620699
AES,868F8F27195E42E6AC5B25E3BF719C5974E99A70AB7B00CBBD61FE608D3BF59C185E42B174593298859A2569F75EEECAADBC9DD242C7B170C2D4669ECECEAA9A,32,16,16,16,CBC,3.9212681161502667,1.0,140.015625,62.6634094257516
DES,E67AC41ABFE6D1B5E2F5BBB52421351F78721CA66F0D093CBDED449210ECA293651D225B28472812FB87F813D5C6BB95,32,8,8,8,CBC,3.9064753272399786,1.0,125.47916666666667,80.2786785680911
3DES,F761B50E4FEAA00AE148FD40E20A2AA3D779D003CBA7EC42165FBE546C2476B0F889D03B15855F0EC64A4F8FA7CFEC5A,32,24,8,8,CBC,3.8847257267705406,1.0,129.875,77.45176590412039
Blowfish,A284F20E8D7EEDDE3DEA11541F9D5513C2C43E3BCF35697236BF48271A3CE1722597F2D28A77403F92BE5138BD949BCB,32,16,8,8,CBC,3.90297067472561,1.0,123.47916666666667,70.10794937788597
RSA,06589191A12E6CB63B84223F33892E2248E67B6638680BE6F1FE039862C908D910558048A55CABCBB0917D29B640D4A661FB3B3E6F8FBB58C9BECBE5C4C858C07FE30308FFF434A953E2C0FB2F907449FC72FD808A3F01753B9F5581AD04F07C5A4FB8916B3E4A12DFA1DCD925396F7627157022E726305AEE10E3CB545C226EF0688EEB1C5FDDF20B67E68A955D88F6BDB6EFFF510A4691E279A430ECD57865C68AE6658771B1AE85EE176330E1E9A6C96FC264CE73A4613C0298C5F02FCBE2361A03DC8676A0648AD0196C724DB44441314311DB16A7269AB4C8AC0A0DB76A4556F612092803C56E1C244A75A058DE032439378C1EC4064FC65797EC76AEF9,32,2048,0,0,Asymmetric,3.977752729851021,1.0,125.49609375,74.11177148227677
ECC,A8FAC83CA21BC37AD79F08CE594B647E0F3781594584E50962773C01B2171BEC524FC0CFCB7B2E8DB0E81FAFC178162081057DCD9AA2ED069B0DAA68312C600B,32,256,0,0,Asymmetric,3.9428363846493903,1.0,114.84375,72.95936770516518
Diffie-Hellman,4AB503DA60B52BA78115B409F565EBA3EE47AC5A05B9626BAAA32E9551BA55E160017CB5209935BA281B8BD0A518957FEBE3BC2A9E216350D9443F9396E3E7F3318ACD5CD2AE89D0C990DA9647DA08B4BFE290769E379AC730B1DD75FF7252CC5C2AF7068D1C7CEF0CF7EDD5E8CB38BF7014A5744DA2C408DD4D8A4EB647FEC9EA0F2B8F87E5E44792DA1CF605A16D7AA29F138525AAC849069C1DEF15E8807761083D0A54D47BBA8DF0D6941C679F55524ED466AF992D6FC640518B8752E2A8B4B729249A23191473975592810109B689B7758FEAD1C6D621D99BA84077B2C654E7CE7790EFCF679E432EE0638AD722665A8C72701FCFA957A4C134DEB06E59,32,2048,0,0,KeyExchange,3.9799388987038524,1.0,132.34765625,70.65618942372873
AES,CE18065C21F392474DC43A4469CB58422FBD3D7A2B18349B3D2F2C05635444C0E08E9FDC167824CEF6126CF8BBCF00DAD29D8BA1516E208E70AD77356C663D83,32,16,16,16,CBC,3.9503006666890332,1.0,112.921875,69.4546400284702
DES,B6937A86D5AB85F0046F3A88183CE8B9C517A87F12ED78EA2315514C4089699A6A14650C24BD7989455AFABFA4E784B5,32,8,8,8,CBC,3.891083816165537,1.0,124.5625,69.93684837349097
3DES,866936C9B456F93132A84C08B2C84608AF544F8A9E88F8428DCDF352A8819B05B21E96AE525F007C0B746DAF59F16036,32,24,8,8,CBC,3.8817014666009597,1.0,119.83333333333333,67.70165351665267
Blowfish,A00AFF9EB31708D0FAF9546E543B65D5525BD51BBBD9C877432195A558ECD210CB9AAB8C44F893DA122EC28AE8E64E10,32,16,8,8,CBC,3.9359004607540493,1.0,136.5,77.50483855863452
RSA,7C000D588C182C92DE03379B3B39B76983536A1A7013EE6C35C6A1F57A98CC5652A6C06B28F7D52A3A33CDE43D183D6280CE3507E46F0F181A9CDFF032F4609EF374A420D8643ED9E38859A076E05FC58608E07557CDC6F30FD2C15B3AEBE2F17EE60C98738860AC00F00F45F5228BCA71E987643E30DCC2D3C38F2554A901EB17AF39644BEE1D346EFA40F42F379E2D606CAA6D3411523B791F6DACBA9C7D51A9CD49451B3ADDDD31B61FA20F629151BE5A56D29BFDC35B909BDBE636966AE9545A325338B5414C0D11C725F55C8BEA22B363D32CC843D1A784560A8B180EF416DB0C38A78A259F89A17434AF8F474046DF3C5F6DF47CD2818F3D8F030A30A9,32,2048,0,0,Asymmetric,3.97822506402621,1.0,121.87109375,73.24916664665005
ECC,A4A4FC9355D8363E5D5F0D5F6068109FB71AF72DE48408C8114F4F38155E3285995E8EA998F1B2423E76F704E03B8B31B8BC03E5A62986CD819E59E06C8CFE6A,32,256,0,0,Asymmetric,3.926273426128776,1.0,122.9375,71.44794324366518
Diffie-Hellman,4C4AC489CBDB77FFAB5C92E832C8F92CF3E71ECFC75543F9FE3153AD9D0D4528737FA2E3B216CA3E2F22E1874A3F261271C81BA3C91BBD4D64C627BD643BBD9DDBA0B36D8A7F786EE67FA77E103298BD80394303F0B458B18A8CEF6A8475CE2CC3A927F3F99E9B6550965DD51D583B1D96E104F52595AC8402456B2F7BCE473369A87E8366E57E3D4CA47C355F5B32170ACDF82A4E1B64F1953F92865D13849F642DAE7A4424ECE0B1BE43C152A14788F3F345C361CFE65FF0D3CDC05E9D16696AB439E7B049977E65161A9093D28EF60B1D298C253022FB99D1961E8EEB0E69B1D90C1DD056C8C4B8A72B2055CDADC7F971BFDF4ADA935AB6D63E83F785882D,32,2048,0,0,KeyExchange,3.9903589370292054,1.0,129.6171875,70.85268840763803
AES,8C7B668AB245F702CD751E86BC5142068BED07A1A887357C9A987ED03CD5098D605F09475241C4B5CEC888D2D68C5B1429D56C2FE125F07703619196705BFD9D,32,16,16,16,CBC,3.910816846939946,1.0,124.421875,68.96756590227304
DES,05DE9A8AC2F9096F11C6E07177DA98164E74D669D635F7978EC522CD454060CD9447AC959A4677B7A3E23120712DC8DC,32,8,8,8,CBC,3.8661842377742537,1.0,134.35416666666666,70.06796985289039
3DES,6BD032659DE60A6C6EC2A8E2B8B48C51FAD0F8B47AC0B555F8B8D6B1B6FE0AAFE938913004DCF86FC1298F8C5DD9F269,32,24,8,8,CBC,3.871517028802132,1.0,154.22916666666666,70.1151551566342
Blowfish,7046859A9080D122D81C79ED227B5A37F02131193E7E0BCB0D6D00ADBB6F58F301395265A9F73D7E7E8AFE3A7676DC1B,32,16,8,8,CBC,3.9006496484076516,1.0,113.83333333333333,72.51819695006826
RSA,27D238739707231438095A41CB431F1B690F2F730D5772103775E1FE191EF875F4B1AE5B401B93ACC80397EDC249F1BECA73F8E8B64C0383C24127CC27F00C42B4A6996B4884258E50E6C924FB450ABF594205C3857BBF7141314BBDFC5D7504DC3AB6E2FFE39304D4973AD84216D7E116FB770473C3E4F533DFAA611C3AE9C1BC7A5B7D5A0B56E3733C1E712B8A6DFF8D9286C3DE2F821227AD67C451BE11FEAC805A3303F72866D9EFD7794EC964929ABDA9B39F872D3EEC0C14B2848D87BD8A478AED2DF580E2DCB22589CBA6B05078777C903BC84D4EE04C47A7AFA5731FA04E9B872D7E558F5CF654483947EF12D857C9AAC6D83B61EC44BBD996809596,32,2048,0,0,Asymmetric,3.982302133704428,1.0,127.375,73.27948425378005
ECC,196B9521088BE513E1D3E83B473E2F9ACC0ED894E3D5A75A0D15A26FAB5E57B6CAA5102C1F47AAFF3F3D57433D5C6E01C62F058441674CC7F59CBFA9FA30C665,32,256,0,0,Asymmetric,3.944924286519451,1.0,118.265625,74.76321835207052
Diffie-Hellman,A29E5F5C76617B5C1633A8D298AAFD0FEB24946AEAFBFF4C5F17F10124A0ABC8D0EC7CAD0732018F6AECC11BECDC6BD7E988152005722B5553EBD7EC13187001610535D547F34D6F4788413659B18C452DC3FB7F7A10540183EB482D30EEA4ED65863538ADD55E72760E2D6AD41B2F9FBAF2CBE9259F4F0D5E509C538DE5B39F224E792529BEA85A250092CB662173A4D8DD6C68DFEE299C26D2C651D18D83F71EB180A49151CC3BE08952E86FFCBC1649DBA8B2C4576EE99BEE5CDB110BF17710530BB9D5C78205BE3AF713E727091F57DE23391F57242496FFC0DC3E7CFB761D389A7C9D91F1BCAB2813881D6E359A3EE1E9404C17017083A42B3287DB01F2,32,2048,0,0,KeyExchange,3.9840827191310284,1.0,123.71875,76.65159994049374
AES,17AEEF84D9E6471D5C2C2413F88888E132FC0EFD2DBD9416462BEFDF7B9109BEA8F6B3396F15C5C439FDB45752A0EC0709B50A4077B4DE28B685220DC464AB6B,32,16,16,16,CBC,3.966946688313951,1.0,126.0,80.78250119920774
DES,CBAE71951F3B3C0BC2A704E317C7B3E182C7BF7DFB12290A74AEBC3B2ABECABA4A5B44EBBCF1653650F1E91ED50C5606,32,8,8,8,CBC,3.830799378412063,1.0,126.9375,79.4972238115898
3DES,541632B878CBFF51FA0D3FB6E74F95FA121A2215C53D400121FDF09B64637BF2CA166A9DA5098B55A87141AC9F02EA94,32,24,8,8,CBC,3.895709934192344,1.0,121.4375,79.64894492134427
Blowfish,6849BA658AD1AA6DCDCFFBBED17397B2102220209FEBC750984E050D0517060822B659F35361DE78F9A17FE388DE0558,32,16,8,8,CBC,3.9239708042152297,1.0,124.125,78.08132112312991
RSA,462F009F5C430BCC68233A7391B74ABD97611C7594DA7A44355C06E30F25327E8A0FA0B36C0676A130D9BE84D8A5F2627A7805001E2389B1BFD0B0D5135E6CB52ECBDFB1BC0497C6DD729F784EA6B328B8B2F0D86C6119DAF0D7AD44C254DAD1F49BCFC309E951E36FFC0E49E79BD418FAD12731BC25442F5527F7D4317A1C864906AB39667BB73401F0AB407B62815ECC4BE2640F29A30B7F2A8BA7DB233707CDD81DA242E470DCF30ED661470865C8A12E46680A34347D07803A479ABD60F04D008DCE3C96A476F214A2E6C2370FE96F7D33D2DD65EC0E6CAD1751A10F87B8580DD942B2FD0C7324B3459F9109E8060A371E386E71DF81DEF23563426120EE,32,2048,0,0,Asymmetric,3.976052475023734,1.0,120.73046875,75.21439155278246
ECC,9793285F6A9143809F24D62721765E13AC2A19FC8C7B5900AD08D391DE93993533EA6837DD272242024EA760AF8A96AE5CA54A59727866CE9087F2BE0F861FB4,32,256,0,0,Asymmetric,3.9231673711710537,1.0,115.046875,65.80734896449161
